seed,source_total,scenario,error_mode,saved_seconds_per_source,v200_success,v200_seconds_per_source,v200_total_virtual_time_s,v200_runtime_s,v200_movement_time_s,v200_measurement_time_s,v200_switching_time_s,v200_clearing_time_s,v200_tail_after_last_clear_s,v201_success,v201_seconds_per_source,v201_total_virtual_time_s,v201_runtime_s,v201_movement_time_s,v201_measurement_time_s,v201_switching_time_s,v201_clearing_time_s,v201_tail_after_last_clear_s
2026097200,16,uniform,independent,4.126921618342607,True,233.76645346820234,3740.2632554912375,4.686999999998079,3015.263255491237,540.0,99.0,86.0,0.0,True,229.63953184985974,3674.232509597756,14.515999999995984,2929.2325095977567,550.0,103.0,92.0,0.0
2026097201,15,uniform,independent,23.402650195967595,True,248.89918305401483,3733.4877458102223,3.688000000001921,2952.487745810221,575.0,113.0,93.0,0.0,True,225.49653285804723,3382.4479928707083,15.875,2650.4479928707074,545.0,103.0,84.0,0.0
2026097202,14,uniform,independent,-0.8371528527342775,True,189.86233234680955,2658.0726528553337,4.2960000000020955,2049.072652855333,450.0,86.0,73.0,0.0,True,190.69948519954383,2669.7927927936134,13.093999999997322,2031.792792793613,470.0,89.0,79.0,0.0
2026097203,16,uniform,independent,34.9290520313624,True,199.37794111953738,3190.047057912598,4.7810000000026776,2575.047057912598,450.0,85.0,80.0,0.0,True,164.44888908817498,2631.1822254107997,31.75,2088.1822254108,385.0,75.0,83.0,0.0
2026097204,11,uniform,independent,3.2125077459711804,True,237.8088803329969,2615.897683662966,4.265999999995984,1916.8976836629663,535.0,103.0,61.0,155.8780834834365,True,234.5963725870257,2580.560098457283,32.53100000000268,1886.5600984572836,535.0,104.0,55.0,154.56977300290782
2026097205,14,uniform,independent,-3.856916778666829,True,212.196056458589,2970.744790420246,4.8439999999973224,2273.7447904202454,525.0,99.0,73.0,0.0,True,216.05297323725583,3024.7416253215815,41.78100000000268,2295.7416253215815,555.0,101.0,73.0,0.0
2026097206,14,uniform,independent,-4.034276838470589,True,224.96083349247564,3149.451668894659,5.140999999995984,2520.4516688946587,465.0,88.0,76.0,97.33050042584773,True,228.99511033094623,3205.931544633247,6.25,2514.9315446332466,515.0,97.0,79.0,97.94348800348598
2026097207,11,uniform,independent,10.7211528065925,True,281.14815639965724,3092.62972039623,4.0,2361.629720396229,555.0,109.0,67.0,210.27648520984303,True,270.42700359306474,2974.697039523712,5.48399999999674,2230.697039523712,570.0,110.0,64.0,225.57547270773375
2026097208,14,uniform,independent,8.152272587623969,True,204.9157743437232,2868.820840812125,4.359000000004016,2164.8208408121254,530.0,101.0,73.0,102.5797175242883,True,196.76350175609923,2754.6890245853892,5.7810000000026776,2042.689024585389,535.0,101.0,76.0,105.80517204343823
2026097209,15,uniform,independent,3.8975957482267347,True,201.4480190004833,3021.7202850072495,4.171999999998661,2387.7202850072504,455.0,86.0,93.0,0.0,True,197.55042325225656,2963.2563487838484,6.093000000000757,2277.2563487838484,510.0,98.0,78.0,0.0
2026097210,16,uniform,independent,-5.2559772981709045,True,219.08303222193,3505.32851555088,5.203000000001339,2836.3285155508793,495.0,91.0,83.0,0.0,True,224.33900952010092,3589.4241523216147,6.485000000000582,2865.424152321615,530.0,96.0,98.0,0.0
2026097211,12,uniform,independent,1.8367436155436394,True,267.9710612173562,3215.652734608274,4.546999999998661,2455.652734608274,580.0,111.0,69.0,0.0,True,266.13431760181254,3193.6118112217505,8.265999999995984,2427.61181122175,595.0,111.0,60.0,0.0
2026097212,13,uniform,independent,-0.3475300973381934,True,223.5161905013688,2905.7104765177946,3.9069999999992433,2266.7104765177946,480.0,91.0,68.0,399.2617650805264,True,223.863720598707,2910.228367783191,6.375,2223.228367783191,510.0,97.0,80.0,397.2567606662951
2026097213,13,uniform,independent,10.402456871656682,True,213.7920650027874,2779.2968450362364,3.561999999998079,2063.296845036237,545.0,103.0,68.0,0.0,True,203.38960813113073,2644.0649057046994,6.264999999999418,1947.0649057046999,520.0,100.0,77.0,0.0
2026097214,13,uniform,independent,8.361054852228449,True,199.62254042751198,2595.093025557656,3.2339999999967404,1910.0930255576561,510.0,98.0,77.0,136.8583746583672,True,191.26148557528353,2486.3993124786857,5.422000000005937,1809.399312478686,510.0,99.0,68.0,138.1410875429956
2026097215,11,uniform,independent,7.524315484710826,True,278.7415389144415,3066.1569280588565,3.7660000000032596,2347.1569280588556,555.0,106.0,58.0,316.64493048946815,True,271.21722342973067,2983.389457727037,5.5310000000026776,2261.3894577270366,560.0,107.0,55.0,315.9187914294148
2026097216,12,uniform,independent,-9.406189542275712,True,245.7725416702543,2949.2705000430515,4.25,2221.2705000430515,550.0,106.0,72.0,0.0,True,255.17873121253,3062.14477455036,6.5,2340.14477455036,555.0,104.0,63.0,0.0
2026097217,14,uniform,independent,8.056062295248609,True,207.81198786527347,2909.3678301138284,4.187999999994645,2187.367830113829,540.0,103.0,79.0,0.0,True,199.75592557002486,2796.582957980348,6.2189999999973224,2049.582957980348,560.0,108.0,79.0,0.0
2026097218,12,uniform,independent,1.8592760873182215,True,260.7378430233064,3128.8541162796773,3.4689999999973224,2380.8541162796773,570.0,109.0,69.0,0.0,True,258.8785669359882,3106.542803231858,7.046999999998661,2342.5428032318578,590.0,111.0,63.0,0.0
2026097219,16,uniform,independent,16.922395535321783,True,191.57317221506867,3065.1707554410987,3.577999999994063,2430.1707554410978,460.0,86.0,89.0,0.0,True,174.65077667974688,2794.41242687595,7.890999999995984,2160.41242687595,465.0,86.0,83.0,0.0
2026097220,16,uniform,independent,-1.8211878912471207,True,212.5171899415283,3400.275039064453,3.8430000000007567,2756.2750390644524,475.0,86.0,83.0,0.0,True,214.33837783277542,3429.4140453244067,6.2810000000026776,2709.4140453244067,525.0,100.0,95.0,0.0
2026097221,13,uniform,independent,-6.544173152627195,True,216.3048310802445,2811.9628040431785,4.156999999999243,2168.962804043179,480.0,92.0,71.0,145.4494959407084,True,222.8490042328717,2897.037055027332,9.906999999999243,2161.0370550273315,560.0,105.0,71.0,141.3568315615048
2026097222,14,uniform,independent,1.1068717129753054,True,206.36688867545868,2889.1364414564214,5.2810000000026776,2173.136441456422,540.0,103.0,73.0,152.87147691136715,True,205.26001696248338,2873.640237474767,6.889999999999418,2131.6402374747668,560.0,106.0,76.0,151.44392733560153
2026097223,11,uniform,independent,2.6856100596251906,True,257.6958673060134,2834.654540366147,2.922000000005937,2101.6545403661466,560.0,109.0,64.0,0.0,True,255.0102572463882,2805.11282971027,8.485000000000582,2069.112829710269,565.0,110.0,61.0,0.0
2026097224,16,uniform,independent,14.912575269101012,True,178.49690414333804,2855.9504662934087,3.4530000000013388,2336.950466293408,365.0,68.0,86.0,0.0,True,163.58432887423703,2617.3492619877925,6.60899999999674,2053.349261987792,400.0,75.0,89.0,0.0
2026097225,12,uniform,independent,7.457426492139007,True,285.4934257891304,3425.9211094695647,3.625,2676.9211094695643,580.0,109.0,60.0,0.0,True,278.0359992969914,3336.4319915638966,6.780999999995402,2572.431991563896,590.0,114.0,60.0,0.0
2026097226,14,uniform,independent,15.567420139161925,True,212.33129813712068,2972.6381739196895,4.14100000000326,2283.6381739196895,515.0,101.0,73.0,0.0,True,196.76387799795876,2754.6942919714224,5.3439999999973224,2068.6942919714234,515.0,98.0,73.0,0.0
2026097227,16,uniform,independent,-1.3177268164578777,True,203.51691915904846,3256.2707065447753,4.561999999998079,2576.2707065447753,500.0,94.0,86.0,0.0,True,204.83464597550633,3277.3543356081013,10.219000000004598,2638.354335608102,465.0,85.0,89.0,0.0
2026097228,12,uniform,independent,11.951909714024282,True,234.64632118025486,2815.7558541630583,3.485000000000582,2176.7558541630583,480.0,93.0,66.0,0.0,True,222.69441146623058,2672.332937594767,11.155999999995402,2016.3329375947674,495.0,95.0,66.0,0.0
2026097229,12,uniform,independent,19.23523272534362,True,276.05651706870157,3312.678204824419,3.811999999998079,2613.678204824419,535.0,101.0,63.0,332.9930587696431,True,256.82128434335795,3081.855412120295,6.39100000000326,2324.855412120295,575.0,110.0,72.0,0.0
