seed,source_total,scenario,error_mode,saved_seconds_per_source,v200_success,v200_seconds_per_source,v200_total_virtual_time_s,v200_runtime_s,v200_movement_time_s,v200_measurement_time_s,v200_switching_time_s,v200_clearing_time_s,v200_tail_after_last_clear_s,v201_success,v201_seconds_per_source,v201_total_virtual_time_s,v201_runtime_s,v201_movement_time_s,v201_measurement_time_s,v201_switching_time_s,v201_clearing_time_s,v201_tail_after_last_clear_s
2026098200,13,boundary,positive,0.6223234345694664,True,349.54459784654165,4544.079772005041,3.735000000000582,3629.079772005041,690.0,136.0,89.0,0.0,True,348.9222744119722,4535.989567355638,17.218999999997322,3607.9895673556357,700.0,136.0,92.0,0.0
2026098201,15,boundary,positive,2.709862031278874,True,306.2697267848746,4594.045901773119,3.9539999999979045,3654.045901773119,705.0,136.0,99.0,0.0,True,303.5598647535957,4553.397971303936,15.562000000005355,3627.397971303936,690.0,134.0,102.0,0.0
2026098202,15,boundary,positive,2.709862031278874,True,306.13639345154127,4592.045901773119,3.7030000000013388,3654.045901773119,705.0,134.0,99.0,0.0,True,303.4265314202624,4551.397971303936,7.969000000004598,3627.397971303936,690.0,132.0,102.0,0.0
2026098203,14,boundary,positive,1.4905090163915702,True,326.3086370230231,4568.320918322323,3.389999999999418,3641.3209183223216,690.0,134.0,103.0,0.0,True,324.8181280066315,4547.4537920928415,9.014999999999418,3620.45379209284,690.0,134.0,103.0,0.0
2026098204,11,boundary,positive,2.216660159767173,True,395.08219172262886,4345.904108948917,3.5469999999986612,3426.9041089489174,705.0,135.0,79.0,0.0,True,392.8655315628617,4321.520847191478,24.875,3406.52084719148,700.0,133.0,82.0,0.0
2026098205,16,boundary,positive,-0.4223442092437608,True,295.3974635843957,4726.359417350332,3.9060000000026776,3806.359417350332,685.0,134.0,101.0,0.0,True,295.8198077936395,4733.116924698232,25.860000000000582,3796.1169246982317,695.0,132.0,110.0,0.0
2026098206,15,boundary,positive,2.709862031278874,True,306.2697267848746,4594.045901773119,6.968000000000757,3654.045901773119,705.0,136.0,99.0,0.0,True,303.5598647535957,4553.397971303936,6.640999999995984,3627.397971303936,690.0,134.0,102.0,0.0
2026098207,13,boundary,positive,0.6223234345694664,True,349.46767476961855,4543.079772005041,7.0,3629.079772005041,690.0,135.0,89.0,0.0,True,348.8453513350491,4534.989567355638,6.625,3607.9895673556357,700.0,135.0,92.0,0.0
2026098208,15,boundary,positive,2.709862031278874,True,306.2697267848746,4594.045901773119,4.421999999998661,3654.045901773119,705.0,136.0,99.0,0.0,True,303.5598647535957,4553.397971303936,6.780999999995402,3627.397971303936,690.0,134.0,102.0,0.0
2026098209,11,boundary,positive,2.216660159767173,True,394.99128263171974,4344.904108948917,3.563000000001921,3426.9041089489174,705.0,134.0,79.0,0.0,True,392.77462247195257,4320.520847191478,6.077999999994063,3406.52084719148,700.0,132.0,82.0,0.0
2026098210,13,boundary,positive,0.6223234345694664,True,349.54459784654165,4544.079772005041,3.5319999999992433,3629.079772005041,690.0,136.0,89.0,0.0,True,348.9222744119722,4535.989567355638,6.811999999998079,3607.9895673556357,700.0,136.0,92.0,0.0
2026098211,13,boundary,positive,0.6223234345694664,True,349.46767476961855,4543.079772005041,3.5460000000020955,3629.079772005041,690.0,135.0,89.0,0.0,True,348.8453513350491,4534.989567355638,6.609000000004016,3607.9895673556357,700.0,135.0,92.0,0.0
2026098212,11,boundary,positive,2.216660159767173,True,395.08219172262886,4345.904108948917,5.359000000004016,3426.9041089489174,705.0,135.0,79.0,0.0,True,392.8655315628617,4321.520847191478,6.60899999999674,3406.52084719148,700.0,133.0,82.0,0.0
2026098213,16,boundary,positive,-0.4223442092437608,True,294.6474635843957,4714.359417350332,6.9689999999973224,3806.359417350332,675.0,132.0,101.0,0.0,True,295.0698077936395,4721.116924698232,10.125,3796.1169246982317,685.0,130.0,110.0,0.0
2026098214,14,boundary,positive,1.4905090163915702,True,326.3086370230231,4568.320918322323,4.14100000000326,3641.3209183223216,690.0,134.0,103.0,0.0,True,324.8181280066315,4547.4537920928415,11.390999999995984,3620.45379209284,690.0,134.0,103.0,0.0
2026098215,15,boundary,positive,2.709862031278874,True,306.2697267848746,4594.045901773119,3.7969999999986612,3654.045901773119,705.0,136.0,99.0,0.0,True,303.5598647535957,4553.397971303936,8.735000000000582,3627.397971303936,690.0,134.0,102.0,0.0
2026098216,11,boundary,positive,2.216660159767173,True,394.99128263171974,4344.904108948917,5.265999999995984,3426.9041089489174,705.0,134.0,79.0,0.0,True,392.77462247195257,4320.520847191478,6.171999999998661,3406.52084719148,700.0,132.0,82.0,0.0
2026098217,10,boundary,positive,4.514412705695861,True,420.12650326091807,4201.265032609181,3.5319999999992433,3313.265032609181,685.0,132.0,71.0,0.0,True,415.6120905552222,4156.120905552222,6.514999999999418,3253.120905552222,700.0,135.0,68.0,0.0
2026098218,15,boundary,positive,2.709862031278874,True,306.20306011820793,4593.045901773119,4.0,3654.045901773119,705.0,135.0,99.0,0.0,True,303.49319808692906,4552.397971303936,6.421999999998661,3627.397971303936,690.0,133.0,102.0,0.0
2026098219,12,boundary,positive,-0.23732614293237475,True,330.0949578748375,3961.13949449805,4.7189999999973224,3087.13949449805,665.0,125.0,84.0,0.0,True,330.3322840177699,3963.9874082132387,7.061999999998079,3085.9874082132383,665.0,126.0,87.0,0.0
2026098300,16,min_radius,negative,19.448996927900197,True,225.96209508820542,3615.3935214112867,3.438000000001921,2812.3935214112867,600.0,114.0,89.0,0.0,True,206.51309816030522,3304.2095705648835,8.625,2561.209570564882,555.0,105.0,83.0,0.0
2026098301,10,min_radius,negative,8.555822669132624,True,281.3769130949076,2813.769130949076,4.984000000004016,2130.769130949076,530.0,100.0,53.0,179.54844054137357,True,272.82109042577497,2728.21090425775,10.546999999998661,2038.2109042577497,535.0,102.0,53.0,206.3069748853859
