clearing_s,clears,enroute_measures,failures,fallbacks,measurement_s,measures,move_m,movement_s,noise,route_end,scenario,seconds_per_source,seed,source_count,stations,success,switching_s,time_accounting_residual_s,total_time_s,variant,wall_s
81.0,17,10,2,1,1195.0,239,21535.876365207183,4307.175273041436,seeded,False,random,387.2116848694291,2026098208,15,21,True,225.0,0.0,5808.175273041436,candidate,1.518564600002719
73.0,17,,6,1,1335.0,267,25823.9574706918,5164.79149413836,seeded,False,random,620.3446812853055,2026098209,11,21,True,251.0,0.0,6823.79149413836,baseline,2.939728899989859
67.0,15,7,4,1,1330.0,266,19667.650641917266,3933.5301283834538,seeded,False,random,507.13910258031405,2026098209,11,21,True,248.0,0.0,5578.530128383454,candidate,1.057449900006759
68.0,14,,1,0,1080.0,216,21408.997598611244,4281.799519722247,seeded,False,random,432.7538092094036,2026098210,13,21,True,196.0,-9.094947017729282e-13,5625.799519722246,baseline,7.2615906999999424
71.0,15,6,2,0,1165.0,233,21448.022859816432,4289.604571963286,seeded,False,random,441.35419784332964,2026098210,13,21,True,212.0,0.0,5737.604571963286,candidate,1.340496200005873
71.0,15,,2,1,1105.0,221,25219.595295598196,5043.9190591196375,seeded,False,random,493.8399276245875,2026098211,13,21,True,200.0,0.0,6419.9190591196375,baseline,7.378420399996685
83.0,19,5,6,2,1130.0,226,24791.455574689626,4958.291114937924,seeded,False,random,490.4839319183019,2026098211,13,21,True,205.0,0.0,6376.291114937924,candidate,1.2977194999984931
85.0,21,,10,3,1345.0,269,24314.948878255593,4862.989775651119,seeded,False,random,595.0899796046472,2026098212,11,21,True,253.0,0.0,6545.989775651119,baseline,3.6836293999949703
76.0,18,8,7,2,1395.0,279,21811.32255034827,4362.264510069654,seeded,False,random,554.4785918245138,2026098212,11,21,True,266.0,-9.094947017729282e-13,6099.264510069653,candidate,1.0245499000011478
92.0,20,,4,1,1040.0,208,26209.144817560238,5241.828963512049,seeded,False,random,410.11431021950307,2026098213,16,18,True,188.0,0.0,6561.828963512049,baseline,7.544369199997163
101.0,23,7,7,3,1180.0,236,25827.446384930878,5165.489276986177,seeded,False,random,416.3430798116361,2026098213,16,18,True,215.0,0.0,6661.489276986177,candidate,2.9747896999906516
79.0,17,,3,1,1130.0,226,24691.861501773452,4938.372300354691,seeded,False,random,453.95516431104943,2026098214,14,21,True,208.0,9.094947017729282e-13,6355.372300354692,baseline,7.87025100000028
88.0,20,8,6,2,1085.0,217,21315.373875481953,4263.074775096392,seeded,False,random,402.5053410783138,2026098214,14,21,True,199.0,9.094947017729282e-13,5635.074775096393,candidate,3.091855199993006
87.0,19,,4,1,940.0,188,22225.895290886823,4445.179058177366,seeded,False,random,376.14527054515764,2026098215,15,21,True,170.0,-9.094947017729282e-13,5642.179058177365,baseline,11.54685860000609
90.0,20,7,5,2,985.0,197,23886.843899254753,4777.368779850949,seeded,False,random,401.89125199006327,2026098215,15,21,True,176.0,0.0,6028.368779850949,candidate,2.644682099999045
58.0,12,,1,0,1290.0,258,23175.45172495632,4635.090344991265,seeded,False,random,565.6445768173876,2026098216,11,21,True,239.0,-9.094947017729282e-13,6222.090344991264,baseline,5.479801199995563
61.0,13,8,2,1,1420.0,284,20733.622190640595,4146.724438128119,seeded,False,random,535.79313073892,2026098216,11,21,True,266.0,9.094947017729282e-13,5893.72443812812,candidate,1.6709831000043778
53.0,11,,1,1,1315.0,263,21331.983752585664,4266.396750517132,seeded,False,random,587.7396750517131,2026098217,10,21,True,243.0,-9.094947017729282e-13,5877.396750517131,baseline,6.017519200002425
